Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
ICICI Pru Smallcap Fund(G),Rajat Chandak,9378.8,0.91,660000,660000 ,0,0
Bandhan Aggressive Hybrid Fund-Reg(G),Prateek Poddar,2184.4,3.88,655194,562469 ,520036,514918
Franklin India Multi Asset Allocation Fund-Reg(G),R. Janakiraman,2825.7,2.98,651115,651115 ,651115,601115
Sundaram Multi Cap Fund(G),Rohit Seksaria,2914.9,2.89,650000,650000 ,650000,650000
Franklin India Balanced Advantage Fund-Reg(G),Rajasa Kakulavarapu,2819.0,2.98,648422,790000 ,790000,790000
Tata Retirement Sav Fund - Prog Plan(G),Sonam Udasi,2163.8,3.87,648000,648000 ,648000,648000
Kotak Pioneer Fund-Reg(G),Harish Bihani,3873.0,2.14,640000,640000 ,640000,640000
ICICI Pru Nifty Infrastructure ETF,Nishit Patel,417.0,19.84,639486,537651 ,537805,527546
Bajaj Finserv Large and Mid Cap Fund-Reg(G),Nimesh Chandan,2403.2,3.34,621061,554253 ,327999,327999
Axis Nifty 50 Index Fund-Reg(G),Nandik Mallik,1001.2,7.96,616252,604202 ,597758,525343
Edelweiss Large Cap Fund-Reg(G),Bharat Lahoti,1434.3,5.54,613611,613611 ,584206,584206
ICICI Pru Childrens Fund(G),Aatur Shah,1417.5,5.48,600000,900000 ,875000,0
Parag Parikh Dynamic Asset Allocation Fund-Reg(G),Rajeev Thakkar,2656.0,2.84,582000,582000 ,582000,582000
Sundaram Equity Savings Fund(G),Clyton Richard Fernandes,1044.0,7.21,581964,661365 ,667650,692731
Tata Retirement Sav Fund - Mod Plan(G),Sonam Udasi,2176.8,3.42,576000,576000 ,576000,576000
Axis Equity Savings Fund-Reg(G),Mayank Hyanki,875.0,8.51,575500,178504 ,178504,178504
Franklin India Arbitrage Fund-Reg(G),Mukesh Jain,1425.2,5.20,572500,510000 ,355000,251000
Axis Aggressive Hybrid Fund-Reg(G),Jayesh Sundar,1455.7,4.98,560203,560203 ,560203,560203
HSBC Focused Fund-Reg(G),Neelotpal Sahai,1723.4,4.20,560000,560000 ,560000,560000
Edelweiss Multi Cap Fund-Reg(G),Trideep Bhattacharya,3338.0,2.15,554327,428053 ,428053,428053
DSP Nifty Top 10 Equal Weight ETF,Anil Ghelani,717.2,9.99,553929,510107 ,515777,504053
Invesco India Balanced Advantage Fund-Reg(G),Amey Sathe,996.5,7.17,552500,295000 ,295000,295000
Mahindra Manulife Aggressive Hybrid Fund-Reg(G),Kirti Dalvi,2451.3,2.89,547000,511000 ,511000,661000
UTI Childrens Hybrid Fund,Sachin Trivedi,4388.4,1.61,546711,546711 ,546711,546711
Sundaram Value Fund-Reg(G),S. Bharath,1300.3,5.42,545000,545000 ,545000,545000
Motilal Oswal Nifty 50 Index Fund-Reg(G),Swapnil P Mayekar,883.2,7.96,543422,540578 ,534437,517782
Bandhan Infrastructure Fund-Reg(G),Vishal Biraia,1545.5,4.52,539669,536669 ,536669,513178
Kotak Aggressive Hybrid Fund-Reg(G),Atul Bhole,8961.7,0.78,539470,539470 ,539470,389470
Sundaram Flexi Cap Fund-Reg(G),S. Bharath,1990.1,3.50,538000,538000 ,602000,602000
WOC Arbitrage Fund-Reg(G),Ramesh Mantri,1595.9,4.31,532000,227000 ,189000,170500
LIC MF BSE Sensex ETF,Nikhil Kapoor,711.4,9.65,530302,529013 ,529013,530561
LIC MF Nifty 50 ETF,Nikhil Kapoor,857.7,7.98,529083,527247 ,527247,527411
WOC Multi Asset Allocation Fund-Reg(G),Ramesh Mantri,7762.6,0.86,518073,518073 ,467534,467534
Mahindra Manulife Large & Mid Cap Fund-Reg(G),Neelesh Dhamnaskar,2763.1,2.41,515000,515000 ,515000,515000
Baroda BNP Paribas Value Fund-Reg(G),Rohan Korde,1023.5,6.49,513000,513000 ,513000,513000
Bandhan Focused Fund-Reg(G),Manish Gunwani,2066.7,3.19,510082,510082 ,510082,510082
Sundaram Infra Advantage Fund(G),Siddarth Mohta,999.7,6.60,510000,510000 ,510000,510000
UTI Retirement Fund,V. Srivatsa,4698.3,1.40,508349,495849 ,495849,495849
Bajaj Finserv Arbitrage Fund-Reg(G),Ilesh Savla,1208.6,5.43,507000,0 ,0,0
Baroda BNP Paribas Multi Cap Fund-Reg(G),Paresh Jain,3339.4,1.94,500000,550000 ,550000,550000
Franklin India Aggressive Hybrid Fund(G),Rajasa Kakulavarapu,2340.2,2.76,500000,660000 ,660000,660000
Mahindra Manulife Multi Cap Fund-Reg(G),Vishal Jajoo,6926.0,0.93,500000,500000 ,500000,825000
Axis Value Fund-Reg(G),Nitin Arora,1668.2,3.87,498318,457746 ,457746,470392
Mirae Asset Balanced Advantage Fund-Reg(G),Harshad Borawake,2128.9,2.84,467084,411084 ,411084,403584
Baroda BNP Paribas Multi Asset Fund-Reg(G),Jitendra Sriram,1446.7,4.02,450000,450000 ,450000,450000
HDFC Retirement Savings Fund-Hybrid-Equity Plan-Reg(G),Srinivasan Ramamurthy,1613.5,3.61,450000,450000 ,450000,400000
Franklin India NSE Nifty 50 Index Fund(G),Shyam Sundar Sriram,723.2,7.96,445030,443481 ,456368,448821
ITI Flexi Cap Fund-Reg(G),Dhimant Shah,1412.2,4.05,442512,385623 ,385623,385630
Bandhan Nifty100 Low Volatility 30 Index Fund-Reg(G),Abhishek Jain,1660.2,3.42,438466,369169 ,373722,376042
Tata Nifty 50 ETF,Nitin Sharma,709.6,7.97,437000,435047 ,435255,435255
Bandhan Innovation Fund-Reg(G),Manish Gunwani,2391.9,2.35,433641,380393 ,380393,351401
Tata BSE Select Business Groups Index Fund-Reg(G),Nitin Sharma,241.0,23.21,432368,372285 ,373151,362813
Edelweiss Focused Fund-Reg(G),Trideep Bhattacharya,1030.2,5.43,432067,432067 ,432067,432067
Union Flexi Cap Fund-Reg(G),Sanjay Bembalkar,2375.9,2.34,430000,465000 ,465000,590000
Edelweiss Large & Mid Cap Fund-Reg(G),Sumanta Khan,4683.4,1.16,419583,419583 ,586762,757419
Mahindra Manulife Business Cycle Fund-Reg(G),Krishna Sanghavi,1336.7,4.05,418860,418860 ,418860,393860
Axis Multi Asset Allocation Fund-Reg(G),Ashish Naik,2384.1,2.27,418034,587597 ,507597,501061
Canara Rob Balanced Advantage Fund-Reg(G),Ennettee Fernandes,1125.3,4.79,417000,449000 ,449000,449000
Bajaj Finserv Balanced Advantage Fund-Reg(G),Nimesh Chandan,1238.8,4.35,416286,416286 ,275078,275078
HDFC Infrastructure Fund(G),Ashish Shah,2444.2,2.17,410000,510000 ,530000,530000
Baroda BNP Paribas Aggressive Hybrid Fund-Reg(G),Jitendra Sriram,1245.7,4.21,405000,405000 ,405000,405000
Baroda BNP Paribas Business Conglomerates Fund-Reg(G),Rohan Korde,660.3,7.85,400500,400500 ,405000,405000
Baroda BNP Paribas Energy Opportunities Fund-Reg(G),Kirtan Mehta,672.3,7.70,400000,420000 ,470000,435000
HDFC BSE Sensex ETF,Arun Agarwal,536.4,9.62,398743,399196 ,398118,393869
DSP Nifty 50 Equal Weight Index Fund-Reg(G),Anil Ghelani,2585.0,1.98,394869,338767 ,333281,324737
ICICI Pru Exports & Services Fund(G),Sankaran Naren,1397.1,3.65,394067,394067 ,394067,489482
DSP Value Fund-Reg(G),Abhishek Singh,1975.3,2.57,393000,393000 ,393000,273500
Parag Parikh Large Cap Fund-Reg(G),Rajeev Thakkar,787.7,6.45,392821,371364 ,348376,292647
Canara Rob Multi Asset Allocation Fund-Reg(G),Amit Kadam,1306.0,3.87,390600,390600 ,390600,390600
Bandhan Business Cycle Fund-Reg(G),Vishal Biraia,1208.8,4.17,389466,352193 ,342193,252429
UTI Multi Asset Allocation Fund-Reg(G),Sharwan Kumar Goyal,6890.1,0.73,386826,386826 ,387677,548289
HSBC Arbitrage Fund-Reg(G),Praveen Ayathan,2944.2,1.69,384500,416000 ,247500,364500
Canara Rob Infrastructure Fund-Reg(G),Vishal Mishra,998.1,4.97,383750,373750 ,313750,294250
Invesco India ELSS Tax Saver Fund-Reg(G),Deepesh Kashyap,2645.9,1.87,381947,415522 ,378761,378761
Mirae Asset Equity Savings Fund-Reg(G),Harshad Borawake,1983.4,2.43,371984,324984 ,309984,266484
Edelweiss Equity Savings Fund-Reg(G),Bhavesh Jain,1443.9,3.32,370751,370751 ,367751,367751
WOC Multi Cap Fund-Reg(G),Ramesh Mantri,3850.1,1.24,370209,340916 ,340916,340916
LIC MF Nifty 100 ETF,Nikhil Kapoor,730.6,6.53,368557,364494 ,364494,364494
Tata India Innovation Fund-Reg(G),Meeta Shetty,1387.1,3.42,367000,367000 ,367000,367000
Aditya Birla SL Mfg. Equity Fund-Reg(G),Dhaval Joshi,1229.4,3.86,366616,366616 ,366616,366616
Canara Rob Large and Mid Cap Fund-Reg(G),Amit Nadekar,25251.4,0.19,364161,0 ,0,0
Aditya Birla SL Infrastructure Fund(G),Jonas Bhutta,1233.6,3.80,362646,362646 ,327146,327146
Union Balanced Advantage Fund-Reg(G),Sanjay Bembalkar,1236.7,3.77,360580,360580 ,360580,360580
Baroda BNP Paribas Large & Mid Cap Fund-Reg(G),Jitendra Sriram,1794.4,2.60,360000,385000 ,385000,385000
Sundaram Arbitrage Fund(G),Rohit Seksaria,649.7,7.15,359000,186500 ,186500,186500
HSBC India Export Opportunities Fund-Reg(G),Abhishek Gupta,1200.6,3.87,358747,358747 ,358747,358747
Bank of India Mfg & Infra Fund-Reg(G),Nitin Gosar,836.5,5.51,356510,356510 ,356510,337740
Kotak Business Cycle Fund-Reg(G),Harish Bihani,3302.3,1.39,355000,355000 ,355000,355000
UTI Childrens Equity Fund(G),Sachin Trivedi,1108.9,4.10,351249,351249 ,351249,351249
Bank of India Flexi Cap Fund-Reg(G),Alok Singh,2615.0,1.73,350000,350000 ,350000,350000
HSBC Balanced Advantage Fund-Reg(G),Neelotpal Sahai,1518.1,2.98,350000,350000 ,350000,350000
Bank of India Multi Cap Fund-Reg(G),Nitin Gosar,1186.5,3.82,349946,349946 ,349946,330798
Aditya Birla SL Equity Savings Fund-Reg(G),Lovelish Solanki,1122.4,4.01,347573,322573 ,322573,354573
ICICI Pru Nifty Alpha Low - Volatility 30 ETF,Nishit Patel,1526.9,2.94,346883,370562 ,374358,373624
Sundaram ELSS Tax Saver Fund-Reg(G),S. Bharath,1280.7,3.50,346500,346500 ,395500,395500
Baroda BNP Paribas Manufacturing Fund-Reg(G),Kushant Arora,858.0,5.19,344000,344000 ,344000,344000
UTI Multi Cap Fund-Reg(G),Karthikraj Lakshmanan,2041.5,2.15,340000,340000 ,340000,340000
ITI Multi Cap Fund-Reg(G),Dhimant Shah,1470.5,2.95,334987,310717 ,310717,320722
WOC Balanced Advantage Fund-Reg(G),Ramesh Mantri,2201.7,1.96,333079,333079 ,325390,325390
Baroda BNP Paribas Dividend Yield Fund-Reg(G),Himanshu Singh,613.2,7.03,333000,342000 ,342000,342000
WOC Large & Mid Cap Fund-Reg(G),Ramesh Mantri,2325.5,1.84,331521,331521 ,331521,331521
Aditya Birla SL Bal Bhavishya Yojna-Reg(G),Harshil Suvarnkar,1208.2,3.55,331076,331076 ,331076,331076
Axis Childrens Fund-No Lock in-Reg(G),Jayesh Sundar,892.2,4.74,326730,326730 ,326730,326730
Axis Childrens Fund-Compulsory Lock in-Reg(G),Jayesh Sundar,892.2,4.74,326730,326730 ,326730,326730
Axis Business Cycles Fund-Reg(G),Ashish Naik,2088.6,2.01,324612,353445 ,353445,353445
Bajaj Finserv Multi Asset Allocation Fund-Reg(G),Anup Kulkarni,1875.4,2.22,322162,322162 ,322162,322162
Tata Resources & Energy Fund-Reg(G),Satish Chandra Mishra,1361.2,3.04,320000,200000 ,200000,300000
TRUSTMF Flexi Cap Fund-Reg(G),Mihir Vora,976.2,4.23,319019,250922 ,406510,445057
DSP Business Cycle Fund-Reg(G),Anish Tawakley,1268.3,3.18,311423,288284 ,0,0
Nippon India Equity Savings Fund(G),Sushil Budhia,834.6,4.76,307000,307000 ,307000,307000
WOC Large Cap Fund-Reg(G),Ramesh Mantri,1210.1,3.26,304907,277832 ,277832,277832
Altiva Hybrid Long-Short Fund-Reg(G),Bhavesh Jain,5545.0,0.70,301000,299000 ,198500,250000
Nippon India Nifty Alpha Low Volatility 30 Index Fund(G),Jitendra Tolani,1282.9,2.94,291709,325426 ,331922,327033
Axis ESG Integration Strategy Fund-Reg(G),Vishal Agarwal,1077.2,3.49,290740,290740 ,290740,290740
Axis Retirement Fund-Aggressive Plan-Reg(G),Jayesh Sundar,704.4,5.32,289513,289513 ,289513,289513
Nippon India ETF Nifty Infrastructure BeES,Jitendra Tolani,187.6,19.81,287292,244875 ,248691,244875
Tata BSE Sensex Index Fund-Reg(G),Nitin Sharma,384.7,9.63,286388,285371 ,285920,283988
Canara Rob Manufacturing Fund-Reg(G),Pranav Gokhale,1689.2,2.16,282200,282200 ,282200,282200
Mahindra Manulife Large Cap Fund-Reg(G),Kirti Dalvi,699.8,5.01,271000,271000 ,271000,366000
WOC Special Opp Fund-Reg(G),Ramesh Mantri,1721.1,2.01,267949,181788 ,181788,496781
PGIM India Balanced Advantage Fund-Reg(G),Utsav Mehta,770.5,4.49,267612,267612 ,302222,310622
HDFC NIFTY50 Equal Weight Index Fund-Reg(G),Arun Agarwal,1747.3,1.98,266856,230339 ,229211,224834
SBI Nifty 500 Index Fund-Reg(G),Viral Chhadva,775.7,4.45,266824,264806 ,264640,270467
Quant Arbitrage Fund-Reg(G),Sameer Kate,553.4,6.09,260500,130500 ,30500,30500
Baroda BNP Paribas Flexi Cap Fund-Reg(G),Jitendra Sriram,1239.4,2.71,260000,280000 ,280000,280000
HSBC Business Cycles Fund-Reg(G),Gautam Bhupal,1182.7,2.81,256700,256700 ,401700,401700
HDFC Hybrid Debt Fund(G),Anupam Joshi,3264.6,0.99,250000,250000 ,250000,250000
iSIF Hybrid Long-Short Fund-Reg(G),Rajat Chandak,927.4,3.48,249704,217204 ,143204,143204
Taurus Ethical Fund-Reg(G),Anuj Kapil,406.3,7.92,248530,223480 ,223480,181530
Kotak Active Momentum Fund-Reg(G),Rohit Tandon,1488.4,2.13,245398,186164 ,0,0
Edelweiss Multi Asset Allocation Fund-Reg(G),Bhavesh Jain,2863.1,1.10,244500,204500 ,254500,380500
Sundaram Multi-Factor Fund-Reg(G),Rohit Seksaria,917.2,3.42,242566,286311 ,286311,290835
Mirae Asset Nifty Energy ETF,Ekta Gala,317.2,9.89,242466,225706 ,190966,167003
Mahindra Manulife Manufacturing Fund-Reg(G),Renjith Sivaram,677.3,4.60,241000,241000 ,241000,241000
Helios Large & Mid Cap Fund-Reg(G),Alok Bahl,1303.8,2.39,240997,194997 ,194997,250420
Baroda BNP Paribas ELSS Tax Saver Fund-Reg(G),Silky Jain,896.5,3.46,240000,281800 ,281800,281800
Mirae Asset Small Cap Fund-Reg(G),Varun Goel,4842.2,0.64,238577,238577 ,238577,238577
HSBC Nifty 50 Index Fund-Reg(G),Praveen Ayathan,384.4,7.98,237149,233016 ,228714,232339
Union ELSS Tax Saver Fund(G),Vinod Malviya,856.8,3.52,233000,233000 ,233000,258000
Mahindra Manulife Flexi Cap Fund-Reg(G),Neelesh Dhamnaskar,1559.4,1.91,230000,230000 ,365000,455000
HDFC NIFTY 100 Index Fund-Reg(G),Arun Agarwal,448.4,6.51,225506,217552 ,212545,203648
Bank of India ELSS Tax Saver-Reg(G),Alok Singh,1406.1,2.07,225000,225000 ,225000,225000
PGIM India Large and Mid Cap Fund(G),Vinay Paharia,807.2,3.60,224891,224891 ,224891,224891
SBI BSE Sensex Index Fund-Reg(G),Viral Chhadva,302.3,9.61,224535,234878 ,232972,224433
HSBC Aggressive Hybrid Fund-Reg(G),Gautam Bhupal,5660.3,0.51,224300,224300 ,224300,224300
Kotak Nifty Commodities Index Fund-Reg(G),Satish Dondapati,289.6,9.99,223713,189013 ,187352,184315
LIC MF Nifty 50 Index Fund(G),Nikhil Kapoor,360.5,7.99,222515,221418 ,221418,220391
Motilal Oswal Manufacturing Fund-Reg(G),Ajay Khandelwal,688.0,4.16,221395,119582 ,119582,284732
Bank of India Large & Mid Cap Fund-Reg(G),Nitin Gosar,491.1,5.75,218112,218112 ,218112,209714
Mahindra Manulife ELSS Tax Saver Fund-Reg(G),Neelesh Dhamnaskar,884.2,3.18,217500,217500 ,217500,287500
Franklin India Multi-Factor Fund(G),Arihant Jain,580.6,4.63,207552,215550 ,199605,182600
DSP Nifty 50 Equal Weight ETF,Anil Ghelani,1358.5,1.97,207335,181024 ,167162,152130
Baroda BNP Paribas Business Cycle Fund-Reg(G),Rohan Korde,560.6,4.78,207000,207000 ,207000,207000
LIC MF Large Cap Fund-Reg(G),Sumit Bhatnagar,1362.5,1.95,205678,515284 ,657318,657318
ITI Focused Fund-Reg(G),Dhimant Shah,596.8,4.42,204017,186152 ,189623,198269
Mahindra Manulife Multi Asset Allocation Fund-Reg(G),Renjith Sivaram,1151.6,2.29,203820,203820 ,203820,181820
Union Multi Asset Allocation Fund-Reg(G),Sanjay Bembalkar,978.4,2.69,203073,262073 ,262073,262073
Axis Momentum Fund-Reg(G),Nandik Mallik,958.3,2.70,200000,178770 ,258270,0
Aditya Birla SL BSE Sensex ETF,Mehul Dama,268.2,9.62,199324,199539 ,198918,198916
Kotak Debt Hybrid Fund(G),Shibani Kurian,2882.2,0.88,196400,196400 ,196400,196400
ICICI Pru Regular Savings Fund-Reg(G),Manish Banthia,3347.8,0.75,193161,193161 ,193161,252757
ICICI Pru Retirement Fund-Hybrid Aggressive Plan(G),Manasvi Shah,1240.0,2.01,193058,193058 ,85128,0
Union Large & Midcap Fund-Reg(G),Vinod Malviya,965.2,2.58,192630,192630 ,192630,222630
ICICI Pru ESG Exclusionary Strategy Fund(G),Mittul Kalawadia,1342.0,1.85,192145,192145 ,192145,192145
Mirae Asset Arbitrage Fund-Reg(G),Jignesh Rao,3737.5,0.66,192000,211500 ,119000,78500
Invesco India Multi Asset Allocation Fund-Reg(G),Taher Badshah,1127.2,2.18,189734,167677 ,167677,159775
PGIM India ELSS Tax Saver Fund-Reg(G),Sharma Vivek,713.3,3.42,188731,188731 ,255931,255931
PGIM India Large Cap Fund(G),Anandha Padmanabhan Anjeneyan,539.5,4.47,186463,221083 ,221083,270524
Union Largecap Fund-Reg(G),Pratik Dharmshi,436.7,5.48,185000,185000 ,185000,180000
SBI Comma Fund-Reg(G),Dinesh Balachandran,1150.2,2.06,182732,182732 ,362732,362732
Edelweiss Nifty 50 Index Fund-Reg(G),Bhavesh Jain,295.2,7.98,182127,180044 ,175635,164022
Nippon India ETF Nifty 100,Himanshu Mange,348.1,6.51,175128,174290 ,173632,165828
ICICI Pru Nifty50 Value 20 ETF,Nishit Patel,176.6,12.46,170044,0 ,0,0
Mahindra Manulife Value Fund-Reg(G),Krishna Sanghavi,892.6,2.46,170000,170000 ,170000,135000
ITI Small Cap Fund-Reg(G),Dhimant Shah,3321.8,0.66,169558,169558 ,169558,180815
Mahindra Manulife Balanced Advantage Fund-Reg(G),Neelesh Dhamnaskar,903.9,2.36,165000,165000 ,165000,165000
Union Multicap Fund-Reg(G),Harshad Patwardhan,1420.1,1.48,162364,162364 ,162364,255990
SBI Nifty50 Equal Weight Index Fund-Reg(G),Viral Chhadva,1050.9,1.98,160519,137871 ,137918,137535
Mahindra Manulife Equity Savings Fund-Reg(G),Renjith Sivaram,530.5,3.90,159820,64320 ,64320,57320
ITI Large Cap Fund-Reg(G),Alok Ranjan,370.3,5.57,159525,159525 ,159525,244188
Edelweiss ELSS Tax saver Fund-Reg(G),Ashwani Agarwalla,442.5,4.53,154769,154769 ,154769,154769
LIC MF ELSS Tax Saver-Reg(G),Sumit Bhatnagar,1012.9,1.97,154364,154364 ,154364,154364
iSIF Active Asset Allocator Long-Short Fund-Reg(G),Sharmila Dmello,607.4,3.27,153500,0 ,0,0
HSBC Large & Mid Cap Fund-Reg(G),Cheenu Gupta,5343.7,0.37,153235,153235 ,153235,1724076
Unifi Dynamic Asset Allocation Fund-Reg(G),Saravanan V N,1290.1,1.52,151500,111500 ,72000,16000
Kotak Energy Opportunities Fund-Reg(G),Mandar Pawar,273.5,7.10,150000,100000 ,100000,180000
DSP Nifty 50 ETF,Anil Ghelani,235.7,7.96,145025,167773 ,165919,133327
UTI BSE Sensex Index Fund-Reg(G),Sharwan Kumar Goyal,194.0,9.62,144208,144453 ,148257,146018
Tata Dividend Yield Fund-Reg(G),Sailesh Jain,1097.6,1.70,144000,144000 ,144000,144000
Nippon India ETF Nifty 50 Value 20,Jitendra Tolani,149.7,12.42,143653,0 ,0,0
Diviniti Equity Long Short Fund-Reg(G),Vasav Sahgal,333.8,5.56,143334,143334 ,143334,143334
Invesco India Aggressive Hybrid Fund-Reg(G),Hiten Jain,777.4,2.25,135000,125000 ,125000,100000
Franklin India Equity Savings Fund(G),Rajasa Kakulavarapu,618.9,2.81,134500,220000 ,220000,220000
JM Aggressive Hybrid Fund-Reg(G),Asit Bhandarkar,692.1,2.49,133000,133000 ,133000,121000
iSIF Equity Long-Short Fund-Reg(G),Mittul Kalawadia,274.4,6.13,130046,0 ,0,0
Tata Childrens Fund-Reg(G),Rahul Singh (Tata),334.5,5.03,130000,130000 ,130000,130000
ICICI Pru BSE 500 ETF,Nishit Patel,356.4,4.52,124410,125975 ,126001,122734
HDFC Nifty500 Multicap 50:25:25 Index Fund-Reg(G),Arun Agarwal,486.6,3.26,122633,119013 ,111665,108552
Bandhan Nifty 100 Index Fund-Reg(G),Abhishek Jain,244.0,6.49,122424,120344 ,117195,113721
Union Aggressive Hybrid Fund-Reg(G),Sanjay Bembalkar,736.9,2.12,121000,121000 ,121000,141000
Bajaj Finserv Multi Cap Fund-Reg(G),Nimesh Chandan,1429.4,1.09,120109,120109 ,80109,80109
ICICI Pru Quality Fund-Reg(G),Masoomi Jhurmarvala,2157.3,0.72,120000,0 ,0,124000
Groww Nifty Total Market Index Fund-Reg(G),Aakash Chauhan,362.7,4.27,119650,118357 ,117505,114895
Invesco India Equity Savings Fund-Reg(G),Amey Sathe,294.4,5.25,119500,25000 ,25000,25000
Union Value Fund-Reg(G),Vinod Malviya,393.6,3.92,119400,119400 ,113400,125900
Bajaj Finserv Nifty 50 ETF,Ilesh Savla,192.7,7.96,118593,105495 ,105489,105456
Axis Retirement Fund-Dynamic Plan-Reg(G),Jayesh Sundar,282.8,5.33,116616,116616 ,116616,116616
Edelweiss Business Cycle Fund-Reg(G),Bhavesh Jain,1477.9,1.02,116491,116491 ,116491,116491
Franklin Asian Equity Fund(G),Shyam Sundar Sriram,979.2,1.53,116002,116002 ,56852,56852
ITI Balanced Advantage Fund-Reg(G),Nilay Dalal,355.1,4.22,115797,115797 ,115797,115797
HDFC Nifty LargeMidcap 250 Index Fund-Reg(G),Arun Agarwal,447.2,3.26,112621,107376 ,107040,103965
UTI BSE Low Volatility Index Fund-Reg(G),Sharwan Kumar Goyal,479.2,2.97,110014,112679 ,114244,115144
Sundaram Dividend Yield Fund(G),Siddarth Mohta,819.5,1.74,110000,110000 ,110000,110000
HDFC BSE 500 Index Fund-Reg(G),Arun Agarwal,300.3,4.70,109115,101323 ,101756,98251
JM Arbitrage Fund(G),Asit Bhandarkar,382.5,3.65,108000,66500 ,70500,43000
ITI Value Fund-Reg(G),Nilay Dalal,359.5,3.87,107578,107578 ,107578,107578
Aditya Birla SL Special Opp Fund-Reg(G),Dhaval Gala,1165.7,1.19,107332,107332 ,107332,107332
Axis Nifty 500 Index Fund-Reg(G),Nandik Mallik,310.0,4.45,106681,104478 ,104944,99719
UTI Equity Savings Fund-Reg(G),V. Srivatsa,853.0,1.57,103414,109503 ,109503,114067
ICICI Pru Nifty Commodities ETF,Nishit Patel,132.7,9.98,102350,86833 ,85497,78215
Motilal Oswal Nifty 500 ETF,Swapnil P Mayekar,296.5,4.45,102013,95201 ,95196,88796
TRUSTMF Multi Cap Fund-Reg(G),Mihir Vora,603.1,2.16,100879,85695 ,106339,124866
JM Large Cap Fund-Reg(G),Deepak Gupta.,409.1,3.18,100700,180700 ,180700,180700
Bandhan Equity Savings Fund-Reg(G),Kapil Kankonkar,401.0,3.24,100431,100400 ,102763,102763
HSBC Equity Savings Fund-Reg(G),Cheenu Gupta,1126.8,1.10,96000,96000 ,21500,228000
Mirae Asset Nifty India Manufacturing ETF,Ekta Gala,252.3,4.92,95886,81180 ,80421,81910
Navi ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Ashutosh Shirwaikar,154.9,7.98,95522,95234 ,95534,66688
ICICI Pru Nifty50 Value 20 Index Fund-Reg(G),Nishit Patel,98.7,12.47,95131,0 ,0,0
WOC ELSS Tax Saver Fund-Reg(G),Ramesh Mantri,473.6,2.58,94470,90904 ,90904,90904
Axis BSE Sensex ETF,Nandik Mallik,126.9,9.62,94325,94432 ,94403,94455
ITI Large & Mid Cap Fund-Reg(G),Alok Ranjan,743.9,1.60,91752,148478 ,148478,148478
Groww Multi Asset Allocation Fund-Reg(G),Paras Matalia,403.5,2.93,91284,91284 ,91284,97201
LIC MF Arbitrage Fund-Reg(G),Sumit Bhatnagar,243.1,4.84,91000,95000 ,80000,80000
Taurus Flexi Cap Fund-Reg(G),Anuj Kapil,348.8,3.36,90506,80506 ,80506,52556
SBI Quant Fund-Reg(G),Sukanya Ghosh,3001.4,0.39,89633,150269 ,150872,266945
PGIM India Multi Cap Fund-Reg(G),Sharma Vivek,430.9,2.69,89466,89466 ,89466,89466
HSBC Multi Asset Allocation Fund-Reg(G),Cheenu Gupta,3040.5,0.38,88574,88574 ,305599,1511980
Union Business Cycle Fund-Reg(G),Harshad Patwardhan,520.0,2.16,86883,86883 ,86883,141645
Groww Nifty EV & New Age Automotive ETF,Aakash Chauhan,281.0,3.94,85571,69678 ,68927,67660
UTI Conservative Hybrid Fund-Reg(G),Amit Premchandani,1660.7,0.66,85000,80000 ,80000,80000
Bank of India Business Cycle Fund-Reg(G),Alok Singh,463.1,2.35,84000,84000 ,84000,84000
Edelweiss NIFTY Large Mid Cap 250 Index Fund-Reg(G),Bhavesh Jain,331.1,3.26,83359,78642 ,77535,75593
Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund-Reg(G),Nitin Sharma,127.0,8.25,80989,80472 ,80421,81991
ICICI Pru Nifty 100 ETF,Nishit Patel,158.4,6.51,79737,79117 ,79821,78470
Zerodha Nifty 100 ETF,Kedarnath Mirajkar,157.4,6.51,79220,78215 ,76480,71313
JM Large & Mid Cap Fund-Reg(G),Asit Bhandarkar,435.4,2.34,78900,103900 ,103900,96400
Aditya Birla SL Nifty 50 Equal Weight Index Fund-Reg(G),Mehul Dama,497.7,1.98,76010,63829 ,61601,57145
Mirae Asset Nifty 100 ESG Sector Leaders ETF,Ekta Gala,99.7,9.83,75713,66688 ,66345,68749
Kotak Nifty 50 Value 20 ETF,Satish Dondapati,78.4,12.46,75531,0 ,0,0
Aditya Birla SL Regular Savings Fund(G),Mohit Sharma,1490.3,0.65,75000,75000 ,75000,75000
LIC MF Aggressive Hybrid Fund(G),Manoj Bajpai,528.2,1.83,74686,74686 ,74686,74686
Bandhan Retirement Fund-Reg(G),Vishal Biraia,182.8,5.12,72306,72306 ,72306,72306
Baroda BNP Paribas ESG Best-in-class Strategy Fund-Reg(G),Rohan Korde,623.9,1.49,72000,72000 ,72000,72000
