Stock Name:Reliance Industries Ltd.,As on 30-Jun-26

Sector,No. of Funds,No. of Shares,No. of Shares,No. of Shares,No. of Shares
,,`Jun-26,`May-26,`Apr-26,`Mar-26
Energy,644,1351744321,1353376795,1302381102,1297994364


`Fund Name,`Fund Manager,`Jun-26,`Jun-26,`Jun-26,`May-26,`Apr-26,`Mar-26
,,AUM (in Rs. cr),% of AUM,No. of Shares,No. of Shares,No. of Shares,No. of Shares
Franklin India Focused Equity Fund(G),Ajay Argal,11408.9,5.94,5240000,5240000 ,5240000,5240000
Kotak Large Cap Fund(G),Rohit Tandon,10772.3,6.12,5094835,5094835 ,5094835,5079835
Bandhan Value Fund-Reg(G),Daylynn Pinto,9985.0,6.48,5000000,5000000 ,5000000,5000000
Invesco India Contra Fund-Reg(G),Taher Badshah,19995.7,3.16,4878249,4878249 ,4878249,4878249
UTI Large Cap Fund-Reg(G),Karthikraj Lakshmanan,11975.7,5.18,4795093,4795093 ,4795093,4795093
Tata Arbitrage Fund-Reg(G),Sailesh Jain,24026.0,2.57,4765000,2029500 ,1496500,805500
Nippon India Power & Infra Fund(G),Rahul Modi,8043.4,7.50,4660000,4660000 ,4660000,4660000
Kotak Balanced Advantage Fund-Reg(G),Rohit Tandon,17371.7,3.43,4611505,4611505 ,4611505,4611505
Franklin India Flexi Cap Fund(G),R. Janakiraman,19274.1,3.02,4493052,4493052 ,4493052,4493052
Aditya Birla SL ELSS Tax Saver Fund(G),Dhaval Shah,14466.9,3.81,4260426,4260426 ,4260426,4260426
HDFC Manufacturing Fund-Reg(G),Rakesh Sethia,10328.0,5.16,4120000,4120000 ,4220000,4220000
Parag Parikh Flexi Cap Fund-Reg(G),Rajeev Thakkar,143388.4,0.37,4061000,2071500 ,2017500,2017500
HDFC Multi Cap Fund-Reg(G),Amar Kalkundrikar,20216.9,2.53,3950000,3950000 ,3950000,3950000
Edelweiss Balanced Advantage Fund-Reg(G),Bhavesh Jain,13031.2,3.77,3800180,3800180 ,3800180,4033180
Canara Rob Flexi Cap Fund-Reg(G),Shridatta Bhandwaldar,13327.7,3.59,3698362,3698362 ,3698362,3698362
Kotak Large & Midcap Fund(G),Harsha Upadhyaya,31262.7,1.49,3600000,3600000 ,3600000,3600000
SBI Infrastructure Fund-Reg(G),Bhavin Vithlani,4852.1,9.60,3600000,3600000 ,3600000,3600000
HDFC Large and Mid Cap Fund-Reg(G),Gopal Agrawal,29284.7,1.51,3426186,3426186 ,1926186,1926186
Bandhan ELSS Tax Saver Fund-Reg(G),Daylynn Pinto,6911.3,6.37,3400000,3300000 ,3300000,3300000
Nippon India ELSS Tax Saver Fund(G),Rupesh Patel,14879.9,2.96,3400000,3400000 ,3400000,3650000
HSBC Value Fund-Reg(G),Venugopal Manghat,14828.3,2.93,3358402,3358402 ,3358402,3358402
HDFC ELSS Tax saver(G),Amar Kalkundrikar,15685.2,2.74,3325000,3325000 ,3325000,3325000
Aditya Birla SL Focused Fund(G),Kunal Sangoi,7854.7,5.42,3291742,3170046 ,3170046,3486850
